District,N,P,K,pH,Season,Temperature,Humidity,Rainfall,crop
Kancheepuram,206.08393879466504,69.83758591490512,194.53633487736812,7.4,Kharif,30.11600498890484,65.58371724549056,616.5198334852485,rice
Kancheepuram,191.1570762322639,66.64290440648968,198.90342179047022,7.4,Kharif,28.985483215306473,74.35468371440959,579.314506015684,rice
Kancheepuram,181.9879570963503,65.29236958531583,195.95265426674942,7.4,Kharif,29.04229816870658,66.68284095297874,623.9229936484376,rice
Kancheepuram,190.98193931103955,65.00096611656407,193.56623807995618,7.4,Kharif,29.482241911873512,72.53529945625944,611.7489078449673,rice
Kancheepuram,183.6597233159449,71.58240083500712,193.0068072490339,7.4,Kharif,29.373053147586884,70.17747730558742,576.8478662339951,rice
Kancheepuram,191.29594713713382,68.75439172608722,192.66240281289248,7.4,Kharif,29.750670630684375,73.62063217425376,624.015080636541,rice
Kancheepuram,188.9579945041168,64.13897303420715,194.9662284419857,7.4,Kharif,29.04695439743622,72.41914035548491,587.5696098507808,rice
Kancheepuram,189.42335185313965,67.99255888389767,193.83135650708843,7.4,Kharif,29.252792058694055,77.16845576587778,641.8773684604624,rice
Kancheepuram,191.9301501420084,65.25989652924697,190.78923515905979,7.4,Kharif,27.879538961117134,69.90603475144151,623.1613899964434,rice
Kancheepuram,195.02715778254736,68.72654183935482,199.37630936376254,7.4,Kharif,28.69850772911077,74.36561828951086,619.5367634748849,rice
Kancheepuram,182.22320493209148,63.99035233180268,191.28609320204956,7.4,Kharif,28.84725313547839,71.49355261989774,592.8630088824015,rice
Kancheepuram,197.0938520215914,65.1552448113483,192.36584060582467,7.4,Kharif,26.330709341356666,76.3706086751691,624.7752512851999,rice
Kancheepuram,185.25793513926496,68.24329687258532,196.327072957451,7.4,Kharif,29.859559024912564,73.48241179423667,590.7788026656953,rice
Kancheepuram,187.53720074892902,70.59900953554315,192.63206783826774,7.4,Kharif,28.142785203563257,71.79569892886767,605.9728547256029,rice
Kancheepuram,184.81279528905435,68.00950214484806,194.88260488154117,7.4,Kharif,29.767065441116205,70.39479007043879,613.1592750429019,rice
Kancheepuram,194.28411341634313,63.204304567119536,192.84940951783958,7.4,Rabi,24.670015838018053,81.83320204203586,641.5574272511035,rice
Kancheepuram,186.97337240537857,65.24473984989463,195.9513542563671,7.4,Rabi,24.920856776452514,78.58417828932578,599.4964171360042,rice
Kancheepuram,188.50023825989777,65.88021652841594,195.3812310740514,7.4,Rabi,24.82203184794296,80.85200381375694,642.7630762542333,rice
Kancheepuram,182.44333295395163,64.0675179399491,193.07377960974588,7.4,Rabi,26.90236219020455,77.97652476752938,611.2846539445605,rice
Kancheepuram,185.04140799510338,67.47041126355705,190.2698774445886,7.4,Rabi,25.436725886418515,74.80674814754975,597.0873091469623,rice
Kancheepuram,188.23837473088065,67.01044660863757,197.398494992791,7.4,Rabi,24.070401574561338,74.70823286072216,638.8185898929391,rice
Kancheepuram,194.402725357845,67.18016005951121,188.87966714955928,7.4,Rabi,24.991335850400556,80.7486161228531,635.5386306780929,rice
Kancheepuram,186.66723992486655,66.56231603696858,194.50353751162518,7.4,Rabi,25.697660889750043,83.82571297474867,595.2044783969759,rice
Kancheepuram,180.6459388585324,64.13997878973323,191.28379136217174,7.4,Rabi,26.069931592293198,81.97685439029232,610.3270426612355,rice
Kancheepuram,191.66463638326312,63.78885471294993,196.72987665543715,7.4,Rabi,24.881969233956852,83.8497234351046,616.7090754819147,rice
Kancheepuram,198.7605241915728,64.05713899946899,195.16440180530583,7.4,Rabi,25.00834074483675,78.49919374870109,622.1611813808278,rice
Kancheepuram,190.86929592723033,66.34645352832223,189.17776788444908,7.4,Rabi,24.263950326037513,79.81925190090342,618.7930301378098,rice
Kancheepuram,186.04390904415294,68.8556517914359,199.7778308539744,7.4,Rabi,25.904720024307554,78.1215803649979,613.2423918172052,rice
Kancheepuram,185.88266952001177,71.00998375946277,196.85505709915174,7.4,Rabi,25.759055985797712,75.7937574282639,623.5455345965393,rice
Kancheepuram,182.07228332301574,67.26415305396155,197.21918694048375,7.4,Rabi,25.792888848842306,80.43603198865662,623.7763708967071,rice
Kancheepuram,185.99974226517045,66.55725334749809,196.98850469615445,7.4,Summer,29.633507784495684,67.9477893602021,0.7926657838643081,watermelon
Kancheepuram,189.07531356093142,67.17259166432844,193.41203024745695,7.4,Summer,28.19141964391892,63.38069911910699,23.601776666307646,watermelon
Kancheepuram,184.70261194796166,66.04161676495731,193.88506378250406,7.4,Summer,29.932515497383502,65.42987219695095,16.34856883872483,watermelon
Kancheepuram,184.9358335273344,65.33152303398595,189.76182333051784,7.4,Summer,31.03561745043661,67.54958224510129,12.349737558933564,watermelon
Kancheepuram,183.7642702826685,64.0686253975289,193.4238779572532,7.4,Summer,30.3459315991621,64.70135517924068,23.00566232213705,watermelon
Kancheepuram,193.1712053540307,70.55186431088632,193.50732669884036,7.4,Summer,30.41851343246566,65.93148663623249,21.500177097197845,watermelon
Kancheepuram,190.92338382638914,65.97262609582737,196.55608088063832,7.4,Summer,30.069264064433565,66.33007860573548,30.452849951922467,watermelon
